id,Timestamp,type,X,Y,chkcount,gsize
15712,2014-6-08 08:25:02,check-in,63,99,17,1
15715,2014-6-08 08:43:12,check-in,63,99,25,1
15755,2014-6-08 09:57:23,check-in,99,77,17,35
15811,2014-6-08 08:47:35,check-in,63,99,9,4
17074,2014-6-08 08:16:14,check-in,63,99,15,4
17425,2014-6-08 08:31:57,check-in,99,77,13,3
17612,2014-6-08 08:55:25,check-in,63,99,19,2
17740,2014-6-08 08:10:31,check-in,63,99,18,18
17914,2014-6-08 08:35:52,check-in,63,99,31,1
18521,2014-6-08 08:10:13,check-in,0,67,16,3
18647,2014-6-08 08:14:30,check-in,63,99,10,4
18989,2014-6-08 08:48:42,check-in,63,99,14,12
19103,2014-6-08 08:02:08,check-in,0,67,9,4
19162,2014-6-08 08:24:53,check-in,0,67,13,2
19249,2014-6-08 08:45:20,check-in,63,99,25,7
20098,2014-6-08 08:42:41,check-in,63,99,6,6
20345,2014-6-08 08:06:38,check-in,0,67,12,4
20745,2014-6-08 09:22:52,check-in,63,99,18,34
20986,2014-6-08 08:42:38,check-in,63,99,25,3
21979,2014-6-08 08:19:17,check-in,0,67,17,20
22302,2014-6-08 09:48:51,check-in,0,67,12,42
22405,2014-6-08 08:15:01,check-in,0,67,15,3
22713,2014-6-08 08:58:14,check-in,63,99,26,5
23258,2014-6-08 08:57:18,check-in,63,99,18,3
23379,2014-6-08 08:13:58,check-in,0,67,14,3
23899,2014-6-08 08:52:51,check-in,63,99,16,3
24909,2014-6-08 08:32:53,check-in,63,99,12,4
25154,2014-6-08 08:35:55,check-in,63,99,15,2
25544,2014-6-08 08:26:19,check-in,99,77,22,4
25792,2014-6-08 08:19:45,check-in,63,99,17,2
25873,2014-6-08 08:42:11,check-in,0,67,21,2
26349,2014-6-08 08:25:30,check-in,63,99,18,3
27343,2014-6-08 08:40:12,check-in,63,99,8,3
27471,2014-6-08 08:20:43,check-in,99,77,12,6
27774,2014-6-08 08:12:55,check-in,63,99,12,4
28721,2014-6-08 08:01:31,check-in,99,77,16,10
28804,2014-6-08 08:11:26,check-in,99,77,30,3
29232,2014-6-08 09:18:01,check-in,0,67,12,5
29706,2014-6-08 09:14:01,check-in,0,67,9,5
29928,2014-6-08 08:20:14,check-in,99,77,17,3
30381,2014-6-08 08:45:44,check-in,0,67,15,3
30643,2014-6-08 08:28:17,check-in,0,67,22,4
30856,2014-6-08 08:16:22,check-in,99,77,17,4
30878,2014-6-08 08:18:17,check-in,99,77,15,4
31304,2014-6-08 09:22:55,check-in,63,99,16,33
31755,2014-6-08 08:10:31,check-in,63,99,18,18
31954,2014-6-08 08:53:49,check-in,99,77,17,3
31994,2014-6-08 08:26:05,check-in,0,67,11,1
32116,2014-6-08 08:31:57,check-in,99,77,13,3
32993,2014-6-08 08:53:14,check-in,0,67,18,4
33030,2014-6-08 08:52:13,check-in,0,67,25,1
33136,2014-6-08 08:51:15,check-in,0,67,21,2
33412,2014-6-08 08:02:58,check-in,99,77,8,5
33775,2014-6-08 08:30:03,check-in,0,67,20,7
33888,2014-6-08 08:15:36,check-in,63,99,13,2
34004,2014-6-08 08:30:44,check-in,0,67,18,1
34522,2014-6-08 14:07:44,check-in,63,99,15,3
34936,2014-6-08 14:09:14,check-in,63,99,16,4
35076,2014-6-08 08:15:26,check-in,0,67,22,1
36415,2014-6-08 08:40:35,check-in,63,99,13,7
36486,2014-6-08 08:40:28,check-in,0,67,29,7
36878,2014-6-08 08:19:37,check-in,0,67,14,3
36922,2014-6-08 08:26:03,check-in,99,77,13,4
36938,2014-6-08 08:59:32,check-in,99,77,16,5
37425,2014-6-08 08:07:38,check-in,63,99,22,4
37693,2014-6-08 08:29:01,check-in,63,99,12,2
37720,2014-6-08 08:08:15,check-in,99,77,14,4
38492,2014-6-08 08:38:05,check-in,63,99,19,9
38622,2014-6-08 08:30:24,check-in,63,99,23,13
38945,2014-6-08 08:37:21,check-in,63,99,22,3
39012,2014-6-08 08:00:11,check-in,0,67,19,3
40051,2014-6-08 08:25:27,check-in,63,99,24,1
40062,2014-6-08 08:11:37,check-in,63,99,22,15
40235,2014-6-08 08:37:36,check-in,63,99,18,3
40410,2014-6-08 09:53:22,check-in,63,99,8,5
40570,2014-6-08 08:09:10,check-in,0,67,19,4
40624,2014-6-08 08:14:57,check-in,99,77,11,1
40715,2014-6-08 08:28:48,check-in,99,77,19,2
40960,2014-6-08 08:45:31,check-in,63,99,12,1
41035,2014-6-08 13:52:33,check-in,63,99,11,3
41036,2014-6-08 09:14:01,check-in,0,67,9,5
41235,2014-6-08 08:31:52,check-in,0,67,14,5
41289,2014-6-08 08:32:57,check-in,63,99,21,1
41629,2014-6-08 08:54:46,check-in,63,99,6,6
41825,2014-6-08 08:01:47,check-in,99,77,36,2
41879,2014-6-08 08:02:38,check-in,63,99,15,1
42014,2014-6-08 08:37:04,check-in,0,67,28,2
42555,2014-6-08 08:47:42,check-in,0,67,13,4
42721,2014-6-08 08:47:13,check-in,99,77,14,1
42749,2014-6-08 08:01:45,check-in,99,77,15,5
42803,2014-6-08 08:13:45,check-in,63,99,15,2
43800,2014-6-08 08:16:07,check-in,63,99,19,1
43805,2014-6-08 08:23:19,check-in,99,77,15,2
43833,2014-6-08 08:57:58,check-in,63,99,16,4
43927,2014-6-08 08:01:37,check-in,99,77,14,1
44621,2014-6-08 08:52:32,check-in,99,77,10,4
45157,2014-6-08 08:17:26,check-in,0,67,16,1
45840,2014-6-08 08:07:55,check-in,99,77,17,4
46326,2014-6-08 08:29:43,check-in,63,99,17,1
46423,2014-6-08 08:57:24,check-in,63,99,18,3
47327,2014-6-08 08:18:07,check-in,0,67,28,6
47441,2014-6-08 09:40:56,check-in,99,77,1,1
47758,2014-6-08 08:16:48,check-in,63,99,29,4
47773,2014-6-08 08:54:00,check-in,99,77,12,3
48336,2014-6-08 08:01:31,check-in,99,77,10,9
48730,2014-6-08 08:38:05,check-in,63,99,23,6
49352,2014-6-08 08:30:31,check-in,99,77,14,3
49375,2014-6-08 08:38:05,check-in,63,99,20,2
49445,2014-6-08 08:32:40,check-in,99,77,12,3
49610,2014-6-08 08:00:44,check-in,99,77,19,9
50126,2014-6-08 13:29:47,check-in,63,99,5,2
50181,2014-6-08 08:04:41,check-in,99,77,13,5
51389,2014-6-08 08:25:10,check-in,63,99,19,8
51463,2014-6-08 08:37:04,check-in,0,67,18,3
51523,2014-6-08 08:55:28,check-in,0,67,19,4
51784,2014-6-08 08:00:33,check-in,99,77,16,4
51893,2014-6-08 08:42:29,check-in,99,77,17,3
52083,2014-6-08 08:13:52,check-in,63,99,22,4
52834,2014-6-08 08:01:31,check-in,99,77,19,19
53527,2014-6-08 08:34:28,check-in,0,67,25,6
53898,2014-6-08 08:28:51,check-in,99,77,11,1
54223,2014-6-08 08:30:36,check-in,63,99,9,2
55124,2014-6-08 08:45:20,check-in,63,99,23,6
55678,2014-6-08 08:10:37,check-in,99,77,29,6
56079,2014-6-08 08:16:32,check-in,63,99,19,7
56467,2014-6-08 08:13:35,check-in,99,77,12,5
56611,2014-6-08 08:36:42,check-in,63,99,16,1
56627,2014-6-08 09:57:51,check-in,63,99,19,44
56638,2014-6-08 08:39:58,check-in,63,99,23,1
57021,2014-6-08 08:46:36,check-in,0,67,12,5
57086,2014-6-08 08:08:16,check-in,99,77,14,3
57581,2014-6-08 08:35:40,check-in,63,99,30,4
57612,2014-6-08 08:06:09,check-in,63,99,19,1
57806,2014-6-08 08:08:33,check-in,63,99,18,2
58518,2014-6-08 09:09:50,check-in,0,67,18,42
58897,2014-6-08 08:53:46,check-in,63,99,11,4
59930,2014-6-08 08:13:16,check-in,0,67,18,4
60042,2014-6-08 13:23:56,check-in,99,77,15,7
60140,2014-6-08 08:01:31,check-in,99,77,22,18
60156,2014-6-08 08:19:17,check-in,0,67,16,19
60359,2014-6-08 08:24:03,check-in,0,67,15,2
60390,2014-6-08 09:57:51,check-in,63,99,19,44
60633,2014-6-08 08:59:57,check-in,63,99,8,1
61313,2014-6-08 08:00:44,check-in,99,77,19,9
62001,2014-6-08 08:00:19,check-in,63,99,22,16
62346,2014-6-08 08:17:51,check-in,63,99,16,3
62885,2014-6-08 08:44:27,check-in,99,77,12,3
63549,2014-6-08 08:57:03,check-in,0,67,21,3
64304,2014-6-08 08:51:50,check-in,0,67,18,5
65293,2014-6-08 08:25:01,check-in,99,77,9,3
65486,2014-6-08 08:01:31,check-in,99,77,10,9
66208,2014-6-08 08:05:19,check-in,0,67,9,6
66604,2014-6-08 08:02:02,check-in,0,67,18,3
66725,2014-6-08 08:59:09,check-in,99,77,17,4
67063,2014-6-08 08:03:30,check-in,63,99,12,1
67142,2014-6-08 08:04:41,check-in,99,77,13,5
67294,2014-6-08 08:45:20,check-in,63,99,15,14
67425,2014-6-08 08:30:49,check-in,99,77,12,3
67747,2014-6-08 08:36:53,check-in,99,77,28,3
67756,2014-6-08 08:30:59,check-in,99,77,26,4
67762,2014-6-08 08:25:10,check-in,63,99,24,7
68027,2014-6-08 08:28:28,check-in,99,77,29,5
68537,2014-6-08 08:43:45,check-in,63,99,15,5
68565,2014-6-08 08:45:56,check-in,99,77,25,5
68674,2014-6-08 08:39:04,check-in,63,99,18,3
68697,2014-6-08 08:00:52,check-in,63,99,11,4
69164,2014-6-08 08:36:42,check-in,63,99,26,2
69245,2014-6-08 08:19:17,check-in,0,67,26,10
69324,2014-6-08 08:16:59,check-in,63,99,19,1
69337,2014-6-08 08:39:05,check-in,0,67,33,4
69348,2014-6-08 08:02:18,check-in,63,99,20,1
69530,2014-6-08 08:22:39,check-in,0,67,14,1
69845,2014-6-08 08:17:05,check-in,63,99,12,3
70408,2014-6-08 08:36:19,check-in,63,99,15,3
71472,2014-6-08 08:22:43,check-in,0,67,19,1
71625,2014-6-08 09:57:23,check-in,99,77,17,35
71913,2014-6-08 09:18:05,check-in,63,99,20,34
71940,2014-6-08 08:05:01,check-in,99,77,12,3
72202,2014-6-08 08:09:00,check-in,99,77,12,1
72254,2014-6-08 08:56:23,check-in,63,99,7,5
72585,2014-6-08 08:19:31,check-in,99,77,24,3
72753,2014-6-08 08:00:21,check-in,0,67,32,1
73058,2014-6-08 08:45:28,check-in,63,99,22,1
73231,2014-6-08 08:09:09,check-in,63,99,28,1
73245,2014-6-08 08:20:32,check-in,63,99,17,5
73365,2014-6-08 08:11:11,check-in,63,99,10,4
73415,2014-6-08 08:20:32,check-in,63,99,17,5
73576,2014-6-08 08:02:58,check-in,99,77,8,5
73941,2014-6-08 08:40:08,check-in,63,99,15,9
73977,2014-6-08 09:41:06,check-in,63,99,10,7
74113,2014-6-08 08:40:08,check-in,63,99,15,9
74204,2014-6-08 09:55:26,check-in,99,77,25,1
74613,2014-6-08 08:38:05,check-in,63,99,25,6
74616,2014-6-08 08:40:28,check-in,0,67,22,9
74766,2014-6-08 08:59:18,check-in,0,67,12,2
75473,2014-6-08 09:22:55,check-in,63,99,16,33
75987,2014-6-08 08:32:56,check-in,0,67,19,2
76731,2014-6-08 08:11:30,check-in,99,77,17,2
77124,2014-6-08 08:29:33,check-in,99,77,15,5
77341,2014-6-08 08:19:43,check-in,99,77,16,5
77556,2014-6-08 08:06:37,check-in,0,67,19,2
77892,2014-6-08 08:22:03,check-in,0,67,21,1
77985,2014-6-08 09:34:42,check-in,99,77,17,1
78603,2014-6-08 08:35:48,check-in,63,99,23,5
79140,2014-6-08 08:01:31,check-in,99,77,10,9
79718,2014-6-08 08:01:47,check-in,99,77,36,2
79806,2014-6-08 08:40:15,check-in,0,67,31,5
80314,2014-6-08 08:26:57,check-in,99,77,8,6
80839,2014-6-08 08:45:20,check-in,63,99,21,7
81090,2014-6-08 08:10:31,check-in,63,99,18,18
81525,2014-6-08 08:35:37,check-in,0,67,22,5
81921,2014-6-08 08:51:15,check-in,0,67,30,4
82626,2014-6-08 08:20:54,check-in,99,77,25,3
82707,2014-6-08 08:55:14,check-in,99,77,21,1
83019,2014-6-08 08:22:22,check-in,0,67,21,3
83912,2014-6-08 09:00:03,check-in,99,77,16,3
83986,2014-6-08 08:30:24,check-in,63,99,24,7
84178,2014-6-08 08:11:23,check-in,63,99,12,5
84322,2014-6-08 08:25:18,check-in,99,77,26,3
84567,2014-6-08 09:10:28,check-in,63,99,24,44
84599,2014-6-08 08:26:58,check-in,99,77,13,4
84678,2014-6-08 09:53:22,check-in,63,99,8,5
84976,2014-6-08 08:28:02,check-in,0,67,11,4
85245,2014-6-08 08:27:06,check-in,99,77,23,4
85398,2014-6-08 08:23:50,check-in,63,99,23,1
85540,2014-6-08 08:22:42,check-in,63,99,19,2
85584,2014-6-08 10:54:54,check-in,63,99,11,6
85826,2014-6-08 08:21:30,check-in,63,99,10,4
86514,2014-6-08 09:51:06,check-in,63,99,24,43
86614,2014-6-08 08:51:49,check-in,99,77,19,4
86732,2014-6-08 08:28:20,check-in,63,99,13,4
86940,2014-6-08 08:19:17,check-in,0,67,17,20
87021,2014-6-08 08:49:01,check-in,99,77,21,1
87053,2014-6-08 08:31:57,check-in,63,99,16,2
87647,2014-6-08 08:21:42,check-in,63,99,22,11
88315,2014-6-08 08:57:07,check-in,63,99,28,7
89187,2014-6-08 08:11:37,check-in,63,99,18,20
89618,2014-6-08 08:48:30,check-in,0,67,20,1
89827,2014-6-08 09:51:06,check-in,63,99,24,43
89996,2014-6-08 08:46:13,check-in,63,99,10,4
90317,2014-6-08 08:45:10,check-in,63,99,14,8
90429,2014-6-08 08:02:43,check-in,63,99,19,2
91182,2014-6-08 08:10:43,check-in,99,77,18,5
91390,2014-6-08 08:43:01,check-in,99,77,15,4
91552,2014-6-08 09:51:06,check-in,63,99,24,43
91683,2014-6-08 08:40:35,check-in,63,99,17,7
92666,2014-6-08 08:56:28,check-in,63,99,15,4
93776,2014-6-08 08:08:22,check-in,63,99,19,3
93934,2014-6-08 08:16:32,check-in,63,99,18,16
94067,2014-6-08 08:30:51,check-in,0,67,20,4
94140,2014-6-08 08:11:52,check-in,63,99,21,11
95112,2014-6-08 08:44:53,check-in,0,67,17,2
95161,2014-6-08 08:30:24,check-in,63,99,26,8
95450,2014-6-08 08:18:54,check-in,63,99,10,3
95924,2014-6-08 08:43:48,check-in,0,67,10,3
96203,2014-6-08 08:51:44,check-in,0,67,14,4
96285,2014-6-08 08:54:12,check-in,63,99,11,2
96504,2014-6-08 08:50:59,check-in,99,77,13,1
96728,2014-6-08 08:00:44,check-in,99,77,23,7
96972,2014-6-08 08:26:02,check-in,63,99,15,2
97314,2014-6-08 08:46:13,check-in,63,99,11,1
97393,2014-6-08 08:51:31,check-in,63,99,14,4
97490,2014-6-08 08:41:49,check-in,99,77,24,2
97613,2014-6-08 08:05:29,check-in,0,67,29,5
97824,2014-6-08 08:16:19,check-in,63,99,29,7
98500,2014-6-08 08:52:59,check-in,63,99,11,3
98842,2014-6-08 08:09:00,check-in,99,77,19,3
99250,2014-6-08 08:41:44,check-in,63,99,30,2
99371,2014-6-08 09:51:06,check-in,63,99,24,43
99939,2014-6-08 08:43:38,check-in,99,77,11,4
100068,2014-6-08 08:04:31,check-in,63,99,19,4
100174,2014-6-08 08:35:52,check-in,63,99,33,3
100951,2014-6-08 08:00:14,check-in,99,77,14,4
101592,2014-6-08 08:24:56,check-in,63,99,21,1
101726,2014-6-08 08:36:16,check-in,99,77,17,5
102175,2014-6-08 08:02:27,check-in,63,99,22,3
102362,2014-6-08 08:16:45,check-in,63,99,26,3
102379,2014-6-08 08:01:42,check-in,63,99,14,4
102963,2014-6-08 08:00:44,check-in,99,77,21,10
103422,2014-6-08 08:51:35,check-in,99,77,18,5
103653,2014-6-08 08:33:28,check-in,0,67,17,1
104120,2014-6-08 08:54:50,check-in,63,99,13,5
104177,2014-6-08 08:37:59,check-in,63,99,25,7
105229,2014-6-08 08:20:12,check-in,63,99,29,4
105331,2014-6-08 08:37:34,check-in,0,67,21,2
105431,2014-6-08 08:00:33,check-in,63,99,30,3
105510,2014-6-08 08:15:30,check-in,63,99,20,3
105834,2014-6-08 08:21:42,check-in,63,99,20,1
105876,2014-6-08 08:18:20,check-in,99,77,15,4
106065,2014-6-08 08:28:20,check-in,63,99,15,4
106322,2014-6-08 08:05:08,check-in,63,99,16,5
106485,2014-6-08 08:11:52,check-in,63,99,18,7
106773,2014-6-08 08:57:07,check-in,63,99,24,7
106861,2014-6-08 08:40:08,check-in,63,99,19,18
107173,2014-6-08 08:45:52,check-in,63,99,21,1
108103,2014-6-08 08:16:15,check-in,99,77,15,5
108423,2014-6-08 08:38:15,check-in,63,99,15,5
108559,2014-6-08 08:50:31,check-in,63,99,15,1
108622,2014-6-08 08:58:14,check-in,63,99,26,5
108717,2014-6-08 08:19:17,check-in,0,67,17,20
108757,2014-6-08 08:31:16,check-in,63,99,21,3
108944,2014-6-08 08:00:56,check-in,0,67,20,3
110075,2014-6-08 08:43:47,check-in,63,99,24,1
110200,2014-6-08 08:10:31,check-in,63,99,26,10
110626,2014-6-08 08:17:41,check-in,63,99,14,2
111118,2014-6-08 08:45:20,check-in,63,99,15,14
111378,2014-6-08 14:55:05,check-in,99,77,5,5
111510,2014-6-08 08:16:57,check-in,99,77,23,5
111758,2014-6-08 08:32:53,check-in,0,67,12,1
111975,2014-6-08 08:57:49,check-in,99,77,17,3
112107,2014-6-08 08:19:16,check-in,99,77,22,5
112324,2014-6-08 08:11:52,check-in,63,99,26,10
112328,2014-6-08 08:47:41,check-in,63,99,17,5
113153,2014-6-08 08:49:38,check-in,0,67,15,4
113536,2014-6-08 08:52:08,check-in,63,99,22,5
113946,2014-6-08 08:48:32,check-in,99,77,11,3
114462,2014-6-08 09:23:46,check-in,0,67,13,1
114521,2014-6-08 08:27:04,check-in,99,77,15,4
114958,2014-6-08 08:38:34,check-in,99,77,19,3
115573,2014-6-08 08:33:17,check-in,99,77,14,3
115651,2014-6-08 08:34:29,check-in,99,77,9,4
115843,2014-6-08 08:11:34,check-in,0,67,14,4
115961,2014-6-08 08:38:36,check-in,0,67,16,3
116446,2014-6-08 08:40:35,check-in,63,99,19,14
116476,2014-6-08 08:39:53,check-in,99,77,12,3
116607,2014-6-08 09:16:16,check-in,63,99,22,34
116861,2014-6-08 08:21:32,check-in,99,77,28,5
117066,2014-6-08 08:54:05,check-in,63,99,12,4
117551,2014-6-08 08:00:16,check-in,63,99,14,2
117888,2014-6-08 08:26:10,check-in,99,77,20,4
118552,2014-6-08 08:29:47,check-in,0,67,27,5
118601,2014-6-08 08:49:38,check-in,0,67,15,4
118662,2014-6-08 09:57:23,check-in,99,77,17,35
118688,2014-6-08 08:07:11,check-in,0,67,19,1
118785,2014-6-08 08:48:55,check-in,0,67,17,4
119370,2014-6-08 08:14:15,check-in,99,77,8,3
119383,2014-6-08 08:44:53,check-in,0,67,17,2
119477,2014-6-08 08:05:39,check-in,63,99,28,7
119648,2014-6-08 08:25:58,check-in,0,67,29,4
119750,2014-6-08 08:17:42,check-in,0,67,17,4
119769,2014-6-08 09:48:51,check-in,0,67,12,42
119808,2014-6-08 08:58:06,check-in,0,67,14,3
120394,2014-6-08 09:10:28,check-in,63,99,24,44
120395,2014-6-08 09:48:51,check-in,0,67,12,42
120407,2014-6-08 08:57:58,check-in,63,99,8,5
120476,2014-6-08 08:31:02,check-in,63,99,11,5
120607,2014-6-08 08:23:29,check-in,0,67,17,1
120615,2014-6-08 08:16:32,check-in,63,99,22,7
120617,2014-6-08 08:00:25,check-in,99,77,21,3
121980,2014-6-08 08:27:41,check-in,63,99,27,2
122203,2014-6-08 08:03:29,check-in,63,99,18,4
122344,2014-6-08 08:48:42,check-in,63,99,16,7
122426,2014-6-08 13:31:39,check-in,63,99,15,6
122566,2014-6-08 14:53:19,check-in,63,99,15,3
122656,2014-6-08 08:07:15,check-in,99,77,18,3
122704,2014-6-08 08:40:35,check-in,63,99,19,14
122838,2014-6-08 17:36:43,check-in,63,99,2,5
122907,2014-6-08 08:56:10,check-in,63,99,22,4
122981,2014-6-08 09:11:37,check-in,99,77,18,1
123312,2014-6-08 08:08:57,check-in,63,99,16,3
123332,2014-6-08 08:11:19,check-in,63,99,12,4
123736,2014-6-08 09:48:51,check-in,0,67,12,42
124052,2014-6-08 08:08:08,check-in,99,77,13,3
124441,2014-6-08 09:32:42,check-in,63,99,17,36
125263,2014-6-08 08:05:19,check-in,0,67,9,6
125285,2014-6-08 08:17:21,check-in,63,99,18,5
126182,2014-6-08 08:30:51,check-in,0,67,20,4
126216,2014-6-08 08:16:45,check-in,63,99,19,3
126493,2014-6-08 08:43:28,check-in,63,99,13,3
126739,2014-6-08 08:03:27,check-in,0,67,26,2
126850,2014-6-08 08:58:16,check-in,0,67,12,3
127037,2014-6-08 08:00:19,check-in,63,99,22,16
127426,2014-6-08 08:31:19,check-in,0,67,26,3
127728,2014-6-08 08:26:43,check-in,63,99,8,5
128371,2014-6-08 09:22:55,check-in,63,99,16,33
128468,2014-6-08 08:44:27,check-in,63,99,7,4
128533,2014-6-08 08:38:05,check-in,63,99,23,6
128920,2014-6-08 08:37:48,check-in,63,99,23,3
129051,2014-6-08 09:00:03,check-in,99,77,11,4
129113,2014-6-08 09:10:28,check-in,63,99,24,44
129114,2014-6-08 08:41:18,check-in,0,67,30,3
129173,2014-6-08 08:50:41,check-in,63,99,8,5
129827,2014-6-08 08:05:19,check-in,0,67,9,6
130179,2014-6-08 08:38:30,check-in,99,77,16,2
130292,2014-6-08 08:59:12,check-in,0,67,14,4
130342,2014-6-08 08:35:41,check-in,63,99,19,2
130373,2014-6-08 08:51:15,check-in,99,77,18,4
130479,2014-6-08 09:57:51,check-in,63,99,19,44
130741,2014-6-08 08:33:35,check-in,63,99,20,3
130895,2014-6-08 08:51:22,check-in,0,67,19,1
131179,2014-6-08 08:41:12,check-in,99,77,18,3
131876,2014-6-08 08:38:05,check-in,63,99,19,9
131905,2014-6-08 08:11:37,check-in,63,99,22,15
132087,2014-6-08 08:05:18,check-in,63,99,22,1
132781,2014-6-08 08:49:22,check-in,99,77,14,3
133085,2014-6-08 08:16:32,check-in,63,99,22,7
133205,2014-6-08 08:00:19,check-in,63,99,22,16
133312,2014-6-08 08:14:27,check-in,0,67,13,1
133836,2014-6-08 08:09:51,check-in,99,77,22,4
134375,2014-6-08 08:43:50,check-in,99,77,15,3
134515,2014-6-08 08:22:38,check-in,63,99,14,1
134564,2014-6-08 08:36:16,check-in,99,77,17,5
134576,2014-6-08 08:23:29,check-in,0,67,18,1
134794,2014-6-08 08:37:11,check-in,0,67,15,3
135036,2014-6-08 08:08:32,check-in,63,99,13,4
135051,2014-6-08 08:43:59,check-in,0,67,25,4
135539,2014-6-08 08:35:22,check-in,63,99,7,4
135664,2014-6-08 08:48:42,check-in,63,99,14,12
135782,2014-6-08 08:01:31,check-in,99,77,22,18
136218,2014-6-08 08:03:26,check-in,63,99,12,5
136693,2014-6-08 08:51:07,check-in,0,67,5,5
137057,2014-6-08 08:17:41,check-in,63,99,14,2
137252,2014-6-08 08:47:02,check-in,63,99,23,3
137608,2014-6-08 08:46:28,check-in,99,77,33,6
137622,2014-6-08 08:57:24,check-in,63,99,22,1
138678,2014-6-08 08:24:54,check-in,63,99,16,3
138952,2014-6-08 08:10:31,check-in,63,99,18,18
139130,2014-6-08 08:40:49,check-in,99,77,19,2
139452,2014-6-08 08:52:53,check-in,0,67,24,2
139649,2014-6-08 08:30:11,check-in,99,77,12,3
139881,2014-6-08 08:22:57,check-in,63,99,18,1
140935,2014-6-08 09:09:50,check-in,0,67,18,42
141039,2014-6-08 08:56:28,check-in,63,99,15,4
141459,2014-6-08 08:48:55,check-in,0,67,17,4
141597,2014-6-08 08:11:56,check-in,63,99,12,1
141708,2014-6-08 08:09:29,check-in,63,99,11,2
141943,2014-6-08 08:32:06,check-in,63,99,17,4
142392,2014-6-08 08:38:04,check-in,99,77,21,4
142466,2014-6-08 08:04:38,check-in,63,99,16,2
142484,2014-6-08 09:48:51,check-in,0,67,12,42
143153,2014-6-08 08:30:44,check-in,0,67,19,4
143159,2014-6-08 09:51:06,check-in,63,99,6,6
143415,2014-6-08 08:45:10,check-in,63,99,23,8
143610,2014-6-08 08:38:30,check-in,99,77,16,2
144043,2014-6-08 08:26:57,check-in,99,77,8,6
144872,2014-6-08 08:23:39,check-in,0,67,18,2
145262,2014-6-08 08:09:35,check-in,99,77,27,4
145305,2014-6-08 08:47:40,check-in,63,99,13,4
145911,2014-6-08 08:23:36,check-in,0,67,13,3
146186,2014-6-08 08:48:42,check-in,63,99,23,15
146240,2014-6-08 08:05:39,check-in,63,99,28,7
146719,2014-6-08 09:33:07,check-in,63,99,7,4
146890,2014-6-08 08:44:03,check-in,0,67,22,1
148486,2014-6-08 08:23:40,check-in,99,77,15,4
148522,2014-6-08 08:44:56,check-in,99,77,10,3
148588,2014-6-08 08:11:58,check-in,0,67,19,2
148982,2014-6-08 08:13:39,check-in,63,99,9,4
